Player,TEAM,AB,Hits,Runs,RBI,1B,2B,3B,HR,BB,BA,OBP,SLG,OPS,MG,,TEAM,GP,AB,Hits,Runs,RBI,1B,2B,3B,HR,BB,BA,OBP,SLG,OPS,MG
JESSE PANASSIDI,MK,75,26,12,6,22,4,0,0,8,0.347,0.410,0.400,0.810,0,,,,,,,,,,,,,,,,,
BRIAN FRUEH,MK,72,25,11,11,22,1,2,0,4,0.347,0.382,0.417,0.798,1,,,,,,,,,,,,,,,,,
JOSH GARCIA,AG,52,18,6,8,18,0,0,0,6,0.346,0.414,0.346,0.760,5,,,,,,,,,,,,,,,,,
RAMON SANTIAGO,JL,81,28,16,17,19,5,3,1,4,0.346,0.376,0.519,0.895,1,,,,,,,,,,,,,,,,,
JOSEPH LEE,JL,47,16,10,2,15,1,0,0,5,0.340,0.404,0.362,0.766,6,,,,,,,,,,,,,,,,,
LENNY SARCONA,MG,62,21,6,11,20,1,0,0,12,0.339,0.446,0.355,0.801,1,,,,,,,,,,,,,,,,,
MIKE IORIO,BK,71,24,7,12,24,0,0,0,1,0.338,0.347,0.338,0.685,2,,,,,,,,,,,,,,,,,
JAKE HEITZNER,MG,77,26,10,14,17,5,1,3,2,0.338,0.354,0.545,0.900,0,,,,,,,,,,,,,,,,,
JAKE KROESE,PP,74,25,9,7,24,1,0,0,1,0.338,0.347,0.351,0.698,0,,,,,,,,,,,,,,,,,
SHAWN ADELSBERG,ER,60,20,16,9,15,5,0,0,9,0.333,0.420,0.417,0.837,5,,,,,,,,,,,,,,,,,
JAMES PEZZULO,JB,78,26,13,16,24,2,0,0,5,0.333,0.373,0.359,0.732,1,,,,,,,,,,,,,,,,,
JIM LOMBARDI,JL,66,22,11,6,21,1,0,0,3,0.333,0.362,0.348,0.711,2,,,,,,,,,,,,,,,,,
JOE GRANDE,PP,66,22,10,3,22,0,0,0,4,0.333,0.371,0.333,0.705,1,,,,,,,,,,,,,,,,,
LANCE ROSENTHAL,GM,66,22,5,6,22,0,0,0,2,0.333,0.353,0.333,0.686,3,,,,,,,,,,,,,,,,,
DANIEL NAVATTA,MP,74,24,8,19,19,5,0,0,3,0.324,0.351,0.392,0.743,1,,,,,,,,,,,,,,,,,
STEVEN TYSON,PP,65,21,13,5,21,0,0,0,2,0.323,0.343,0.323,0.666,2,,,,,,,,,,,,,,,,,
MIKE FERRARESE,EB,59,19,9,7,17,1,1,0,2,0.322,0.344,0.373,0.717,0,,,,,,,,,,,,,,,,,
DHIMANT BALAR,DM,66,21,6,8,17,3,1,0,0,0.318,0.318,0.394,0.712,2,,,,,,,,,,,,,,,,,
